AI Governance Dashboard - Metrics Report
Generated: 2026-04-07T16:33:50.093Z

GOVERNANCE DECISION
Decision,FAIL
Pass,4
Warning,1
Fail,3

METRIC CHECKS
Metric,Value,Threshold,Status,Details
"FNR Disparity","0.0%","≤8%",pass,"Worst: 15-18|Female|Rural|3|Yes (0.0%) vs 15-18|Female|Rural|3|Yes (0.0%)"
"PPV Disparity","16.7%","≤12%",fail,""
"Min Recall","0.0%","≥85%",fail,"Lowest: 15-18|Female|Rural|3|Yes"
"Calibration ECE","0.100","<0.10",fail,""
"PSI Max (prior_hospitalizations_12mo)","0.009","<0.1",pass,""
"Prediction Drift (KS)","0.022","<0.1",pass,""
"Target Drift","0.35%","<5%",pass,""
"Subgroup n≥50","n=1","≥50",warning,"Smallest: 15-18|Female|Rural|3|Yes"

OVERALL PERFORMANCE
Recall,100.00%
Precision (PPV),99.57%
FNR,0.00%
Accuracy,99.99%
F1,99.78%
ECE,0.1000
Brier Score,0.0154
N,7503

SUBGROUP METRICS: care_setting
Subgroup,N,Recall,PPV,FNR,FPR,ECE,Positive Rate
"Specialty clinic",3531,100.00%,100.00%,0.00%,0.00%,0.1007,3.14%
"Community clinic",2294,100.00%,98.80%,0.00%,0.05%,0.1011,3.57%
"Rural outreach",886,100.00%,100.00%,0.00%,0.00%,0.0981,2.48%
"Hospital-based program",792,100.00%,100.00%,0.00%,0.00%,0.0958,2.02%

SUBGROUP METRICS: sex_at_birth
Subgroup,N,Recall,PPV,FNR,FPR,ECE,Positive Rate
"Male",3815,100.00%,99.17%,0.00%,0.03%,0.1007,3.15%
"Female",3540,100.00%,100.00%,0.00%,0.00%,0.0994,3.02%
"Unknown",81,100.00%,100.00%,0.00%,0.00%,0.0976,2.47%
"Intersex/Other",67,100.00%,100.00%,0.00%,0.00%,0.0985,2.99%

SUBGROUP METRICS: health_zone
Subgroup,N,Recall,PPV,FNR,FPR,ECE,Positive Rate
"Edmonton",2051,100.00%,98.31%,0.00%,0.05%,0.0986,2.83%
"Calgary",1796,100.00%,100.00%,0.00%,0.00%,0.0980,3.01%
"Central",1335,100.00%,100.00%,0.00%,0.00%,0.1013,3.22%
"North",1251,100.00%,100.00%,0.00%,0.00%,0.1008,3.28%
"South",1070,100.00%,100.00%,0.00%,0.00%,0.1036,3.27%

